idx_1,idx_2,idx_3,idx_4,idx_5,vals_1,vals_2,vals_3,vals_4,vals_5,top_ave,total_ave,top_total_ave
78,53,28,87,75,60.0,42.0,34.0,34.0,34.0,40.8,23.4,17.4
67,0,1,60,74,39.0,38.0,38.0,36.0,34.0,37.0,22.8,14.2
94,28,93,91,69,54.0,53.0,48.0,37.0,35.0,45.4,22.9,22.5
85,75,79,67,78,39.0,34.0,34.0,33.0,32.0,34.4,23.8,10.599999999999998
88,94,9,44,78,79.0,46.0,39.0,37.0,36.0,47.4,24.7,22.7
83,20,90,79,96,39.0,36.0,34.0,34.0,33.0,35.2,23.5,11.700000000000003
19,91,28,70,78,42.0,33.0,32.0,32.0,32.0,34.2,23.2,11.000000000000004
94,19,28,69,88,48.0,42.0,40.0,37.0,36.0,40.6,24.7,15.900000000000002
84,94,78,87,93,79.0,48.0,36.0,36.0,36.0,47.0,24.9,22.1
9,95,29,94,84,39.0,36.0,34.0,34.0,34.0,35.4,23.0,12.399999999999999
85,9,79,80,31,34.0,33.0,31.0,30.0,30.0,31.6,22.2,9.400000000000002
94,99,82,84,87,39.0,38.0,37.0,35.0,35.0,36.8,23.1,13.699999999999996
99,94,38,91,9,42.0,36.0,34.0,34.0,33.0,35.8,24.5,11.299999999999997
82,40,70,67,94,48.0,40.0,40.0,40.0,39.0,41.4,27.3,14.099999999999998
82,87,88,84,4,54.0,48.0,48.0,46.0,40.0,47.2,25.4,21.800000000000004
99,103,102,100,89,85.0,56.0,42.0,36.0,36.0,51.0,24.7,26.3
28,19,4,73,81,42.0,37.0,34.0,33.0,33.0,35.8,22.9,12.899999999999999
97,99,103,9,28,100.0,46.0,39.0,39.0,34.0,51.6,22.8,28.8
9,19,99,4,40,44.0,39.0,31.0,31.0,29.0,34.8,21.0,13.799999999999997
103,95,100,102,101,85.0,85.0,77.0,73.0,46.0,73.2,28.1,45.1
99,10,51,103,102,77.0,62.0,61.0,53.0,52.0,61.0,21.5,39.5
97,99,103,9,28,100.0,46.0,39.0,39.0,34.0,51.6,22.8,28.8
103,99,100,95,64,87.0,73.0,52.0,42.0,34.0,57.6,23.3,34.3
102,99,95,100,101,87.0,85.0,56.0,53.0,39.0,64.0,26.2,37.8
